Game	Nhóm	Tên case	URL test	Mục đích kiểm tra	Bối cảnh (bộ bài / hành động)	Log đêm mong đợi	Kết quả mong đợi trên UI
Ma Sói Một Đêm	Phase UI	Xem bài	http://localhost:3000/debug-wolf?phase=card_reveal	Màn lật bài riêng: kéo mở lá, nút OK, danh sách người đã xác nhận.	5 người chơi, mình là Tiên Tri. Yun và Trí đã bấm OK.	Không có log (chưa vào đêm).	Header chỉ có tên phase, không nền. Lá bài úp, kéo lên để mở. Nút "OK, tôi đã xem bài".
Ma Sói Một Đêm	Phase UI	Ban đêm	http://localhost:3000/debug-wolf?phase=night	Lượt đêm của Tiên Tri: picker chọn lá giữa bàn tối đa 2 lá.	Đến lượt mình (Tiên Tri), chưa chọn gì.	Không có log (đang trong đêm).	Hiện "CHỌN LÁ GIỮA BÀN" với 3 lá. Không có picker người chơi.
Ma Sói Một Đêm	Phase UI	Xem lại kết quả	http://localhost:3000/debug-wolf?phase=night_review	Màn xem lại kết quả riêng của mình sau đêm.	Mình là Tiên Tri, đã soi lá giữa 1 và thấy Ma Sói.	Không có log (log chỉ hiện ở phase Kết quả).	Hiện lá đã soi + 2 dòng thông báo. Nút "Xong, vào thảo luận".
Ma Sói Một Đêm	Phase UI	Thảo luận	http://localhost:3000/debug-wolf?phase=discussion	Panel "Vai trò trong ván": 4 lá/hàng, badge số lá góc trên trái, bấm mở modal role.	Deck 7 loại role: Nhân Bản, Ma Sói x2, Tiên Tri, Kẻ Trộm, Kẻ Gây Rối, Mất Ngủ, Dân Làng.	Không có log.	Role xếp theo thứ tự lượt đêm (Copy Cat → Nhân Bản → Ma Sói → ...). Lá bài đứng trần, không khung.
Ma Sói Một Đêm	Phase UI	Bỏ phiếu	http://localhost:3000/debug-wolf?phase=voting	Danh sách bỏ phiếu, hiển thị ai đã vote ai, 3 ô thống kê.	3/5 người đã bỏ phiếu, mình chưa.	Không có log.	Nút "Bỏ qua" + 5 người chơi. Ô thống kê Đã gửi / Bỏ qua / Còn chờ.
Ma Sói Một Đêm	Phase UI	Ban đêm · Sói Tiên Tri đơn	http://localhost:3000/debug-wolf?phase=night&case=werewolf-seer-lone	Kiểm tra luật mới: sói đơn là Sói Tiên Tri thì vừa soi người, vừa xem 1 lá giữa bàn.	Mình là Sói Tiên Tri, không có đồng đội sói.	Không có log (đang trong đêm).	Phải hiện ĐỒNG THỜI "CHỌN NGƯỜI CHƠI" và "CHỌN LÁ GIỮA BÀN". Trước khi fix chỉ có picker người chơi.
Ma Sói Một Đêm	Case luật (Kết quả)	Nhân Bản → Kẻ Trộm	http://localhost:3000/debug-wolf?phase=result&case=doppelganger-robber	Lá Nhân Bản là vật lý: khi bị đổi bài, người nhận cầm lá Nhân Bản chứ không phải lá của chức năng đã copy.	Bộ bài: Nhân Bản, Ma Sói, Ma Sói, Tiên Tri, Kẻ Trộm, Kẻ Gây Rối, Mất Ngủ, Dân Làng. Yun nhân bản Kẻ Trộm rồi đổi bài với Trí. Lá Nhân Bản mang chức năng Kẻ Trộm sang Trí.	1. Yun (Nhân Bản) nhân bản Đại Chúa (Kẻ Trộm)  //  2. Yun (Nhân Bản → Kẻ Trộm) đổi bài với Trí (Ma Sói)  //  3. Trí (Ma Sói) xem lá giữa 1 (Ma Sói)	Không có Ma Sói nào bị treo. Ma Sói thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Nhân Bản → Ma Sói  //  Trí: Ma Sói → Nhân Bản [tag Kẻ Trộm]  //  Lan Nè: Dân Làng → Dân Làng  //  Đại Chúa: Kẻ Trộm → Kẻ Trộm
Ma Sói Một Đêm	Case luật (Kết quả)	Nhân Bản → Ma Sói	http://localhost:3000/debug-wolf?phase=result&case=doppelganger-wolf	Nhân Bản copy Ma Sói: thức dậy cùng bầy sói, lá vẫn là Nhân Bản nhưng tính phe theo Ma Sói.	Bộ bài: Nhân Bản, Ma Sói, Tiên Tri, Kẻ Trộm, Kẻ Gây Rối, Mất Ngủ, Dân Làng, Dân Làng. Yun nhân bản Ma Sói của Trí: cả hai thức dậy cùng nhau, lá Yun vẫn là Nhân Bản.	1. Yun (Nhân Bản) nhân bản Trí (Ma Sói)  //  2. Yun (Nhân Bản → Ma Sói) thấy Ma Sói cùng phe: Trí  //  3. Trí (Ma Sói) thấy Ma Sói cùng phe: Yun	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Nhân Bản → Nhân Bản [tag Ma Sói]  //  Trí: Ma Sói → Ma Sói  //  Lan Nè: Dân Làng → Dân Làng  //  Đại Chúa: Dân Làng → Dân Làng
Ma Sói Một Đêm	Case luật (Kết quả)	Copy Cat → Ma Sói	http://localhost:3000/debug-wolf?phase=result&case=copycat-wolf	Copy Cat làm sói đơn ĐƯỢC xem 1 lá giữa bàn; chức năng sói đi theo lá Copy Cat khi bị Kẻ Gây Rối đổi.	Bộ bài: Copy Cat, Ma Sói, Tiên Tri, Kẻ Gây Rối, Mất Ngủ, Dân Làng, Dân Làng, Dân Làng. Yun copy lá Ma Sói giữa bàn, sau đó Đại Chúa (Kẻ Gây Rối) đẩy lá Copy Cat sang Lan Nè.	1. Yun (Copy Cat) copy Ma Sói từ lá giữa 1  //  2. Yun (Copy Cat → Ma Sói) xem lá giữa 3 (Mất Ngủ)  //  3. Đại Chúa (Kẻ Gây Rối) đổi bài của Yun (Copy Cat) với Lan Nè (Dân Làng)	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Copy Cat → Dân Làng  //  Trí: Dân Làng → Dân Làng  //  Lan Nè: Dân Làng → Copy Cat [tag Ma Sói]  //  Đại Chúa: Kẻ Gây Rối → Kẻ Gây Rối
Ma Sói Một Đêm	Case luật (Kết quả)	Copy Cat bị đẩy ra giữa bàn	http://localhost:3000/debug-wolf?phase=result&case=copycat-witch-chain	Chuỗi phức tạp nhất: lá Copy Cat bị đẩy ra giữa bàn rồi được Phù Thuỷ gán cho người khác.	Bộ bài: Copy Cat, Nhân Bản, Ma Sói, Tiên Tri, Phù Thuỷ, Mất Ngủ, Dân Làng, Dân Làng. Yun copy Ma Sói; Trí nhân bản Phù Thuỷ đẩy lá Copy Cat ra giữa; Lan Nè (Phù Thuỷ thật) đưa lá đó cho Đại Chúa.	1. Yun (Copy Cat) copy Ma Sói từ lá giữa 1  //  2. Trí (Nhân Bản) nhân bản Lan Nè (Phù Thuỷ)  //  3. Trí (Nhân Bản → Phù Thuỷ) đổi lá giữa 2 (Dân Làng) với Yun (Copy Cat)  //  4. Yun (Copy Cat → Ma Sói) hoàn tất lượt mà không xem lá giữa bàn  //  5. Lan Nè (Phù Thuỷ) đổi lá giữa 2 (Copy Cat) với Đại Chúa (Dân Làng)	Có Ma Sói bị treo. Dân làng thắng.  //  Khánh: Tiên Tri → Tiên Tri  //  Yun: Copy Cat → Dân Làng  //  Trí: Nhân Bản → Nhân Bản [tag Phù Thuỷ]  //  Lan Nè: Phù Thuỷ → Phù Thuỷ  //  Đại Chúa: Dân Làng → Copy Cat [tag Ma Sói]
